start_timestamp,end_timestamp,test_name,pings_count,ssh_check_count,end_status,attempt_number,qos_settings
2024-01-01 10:01:54,2024-01-01 10:14:27,95SEC_235B_40PUB_49SUB_BE_UC_1DUR_627LC,3,1,success,1,"{'duration_secs': 95, 'datalen_bytes': 235, 'pub_count': 40, 'sub_count': 49, 'use_reliable': False, 'use_multicast': False, 'durability_level': 1, 'latency_count': 627}"
2024-01-01 10:09:46,2024-01-01 10:19:03,87SEC_371B_42PUB_31SUB_BE_MC_1DUR_676LC,2,0,timeout,0,"{'duration_secs': 87, 'datalen_bytes': 371, 'pub_count': 42, 'sub_count': 31, 'use_reliable': False, 'use_multicast': True, 'durability_level': 1, 'latency_count': 676}"
2024-01-01 10:05:51,2024-01-01 10:12:42,74SEC_939B_15PUB_22SUB_REL_UC_2DUR_118LC,2,2,timeout,2,"{'duration_secs': 74, 'datalen_bytes': 939, 'pub_count': 15, 'sub_count': 22, 'use_reliable': True, 'use_multicast': False, 'durability_level': 2, 'latency_count': 118}"
2024-01-01 10:06:09,2024-01-01 10:19:29,79SEC_831B_28PUB_24SUB_REL_MC_2DUR_963LC,3,3,success,3,"{'duration_secs': 79, 'datalen_bytes': 831, 'pub_count': 28, 'sub_count': 24, 'use_reliable': True, 'use_multicast': True, 'durability_level': 2, 'latency_count': 963}"
2024-01-01 10:07:50,2024-01-01 10:11:51,104SEC_362B_41PUB_42SUB_BE_UC_1DUR_694LC,1,1,fail,0,"{'duration_secs': 104, 'datalen_bytes': 362, 'pub_count': 41, 'sub_count': 42, 'use_reliable': False, 'use_multicast': False, 'durability_level': 1, 'latency_count': 694}"
2024-01-01 10:01:21,2024-01-01 10:12:38,92SEC_330B_45PUB_30SUB_BE_MC_1DUR_380LC,3,1,timeout,0,"{'duration_secs': 92, 'datalen_bytes': 330, 'pub_count': 45, 'sub_count': 30, 'use_reliable': False, 'use_multicast': True, 'durability_level': 1, 'latency_count': 380}"
2024-01-01 10:06:35,2024-01-01 10:18:15,65SEC_121B_14PUB_31SUB_BE_MC_2DUR_784LC,1,1,timeout,2,"{'duration_secs': 65, 'datalen_bytes': 121, 'pub_count': 14, 'sub_count': 31, 'use_reliable': False, 'use_multicast': True, 'durability_level': 2, 'latency_count': 784}"
2024-01-01 10:07:36,2024-01-01 10:11:07,95SEC_957B_21PUB_43SUB_BE_UC_0DUR_798LC,0,2,fail,0,"{'duration_secs': 95, 'datalen_bytes': 957, 'pub_count': 21, 'sub_count': 43, 'use_reliable': False, 'use_multicast': False, 'durability_level': 0, 'latency_count': 798}"
2024-01-01 10:01:43,2024-01-01 10:16:36,103SEC_233B_45PUB_34SUB_REL_MC_3DUR_295LC,0,3,fail,2,"{'duration_secs': 103, 'datalen_bytes': 233, 'pub_count': 45, 'sub_count': 34, 'use_reliable': True, 'use_multicast': True, 'durability_level': 3, 'latency_count': 295}"
2024-01-01 10:04:54,2024-01-01 10:13:16,103SEC_673B_12PUB_29SUB_REL_MC_0DUR_241LC,1,0,fail,0,"{'duration_secs': 103, 'datalen_bytes': 673, 'pub_count': 12, 'sub_count': 29, 'use_reliable': True, 'use_multicast': True, 'durability_level': 0, 'latency_count': 241}"
2024-01-01 10:08:13,2024-01-01 10:13:48,105SEC_934B_27PUB_39SUB_BE_MC_3DUR_320LC,0,2,timeout,3,"{'duration_secs': 105, 'datalen_bytes': 934, 'pub_count': 27, 'sub_count': 39, 'use_reliable': False, 'use_multicast': True, 'durability_level': 3, 'latency_count': 320}"
2024-01-01 10:05:58,2024-01-01 10:18:45,94SEC_287B_38PUB_34SUB_BE_UC_0DUR_265LC,3,3,timeout,2,"{'duration_secs': 94, 'datalen_bytes': 287, 'pub_count': 38, 'sub_count': 34, 'use_reliable': False, 'use_multicast': False, 'durability_level': 0, 'latency_count': 265}"
2024-01-01 10:01:23,2024-01-01 10:17:10,107SEC_617B_28PUB_39SUB_REL_MC_3DUR_734LC,2,1,fail,1,"{'duration_secs': 107, 'datalen_bytes': 617, 'pub_count': 28, 'sub_count': 39, 'use_reliable': True, 'use_multicast': True, 'durability_level': 3, 'latency_count': 734}"
